name,moneycontrol_id
HDFC Equity Fund - Direct (G),hdfc-equity-fund-direct/MHD1144
JM Multicap Fund (G),jm-multicap-fund/MJM238
SBI Magnum Multicap Fund - Direct (G),sbi-magnum-multicap-fund-direct/MSB503
DHFL Pramerica Diversified Equity-DP (G),dhfl-pramerica-diversified-equity-dp/MPA159
HDFC Equity Fund (G),hdfc-equity-fund/MZU001
Franklin India Equity Fund (G),franklin-india-equity-fund/MKP003
Edelweiss Equity Savings (MD),edelweiss-equity-savings-md-/MJP334
SBI Equity Oppor. Sr-1 - Direct (G),sbi-equity-oppor-sr-1-direct/MSB1033
Motilal Oswal Multicap 35 - D (G),motilal-oswal-multicap-35-d/MMO031
Sahara Growth Fund - Direct (G),sahara-growth-fund-direct/MFI063
SBI Magnum Multicap Fund (G),sbi-magnum-multicap-fund/MSB073
Reliance Close-End Eqty-2-Sr-A-DP-G,reliance-close-end-eqty-2-sr-a-dp-g/MRC1576
Reliance Close-End Eqty-2-Sr-A (G),reliance-close-end-eqty-2-sr-a/MRC1574
DSP Equity Fund - Direct (G),dsp-equity-fund-direct/MDS590
Motilal Oswal Multicap 35 - (G),motilal-oswal-multicap-35-/MMO029
SBI Equity Oppor. Sr-1 - Regular(G),sbi-equity-oppor-sr-1-regular/MSB1031
DHFL Pramerica Diversified Equity-RP (G),dhfl-pramerica-diversified-equity-rp/MPA157
LIC MF Multicap Fund - D (G),lic-mf-multicap-fund-d/MJB163
DSP Equity Fund - Regular (G),dsp-equity-fund-regular/MDS078
DSP 3Y Close Ended Equity - DP (G),dsp-3y-close-ended-equity-dp/MDS1125
IDFC Multi Cap Fund - D (G),idfc-multi-cap-fund-d/MAG733
DSP 3Y Close Ended Equity - RP (G),dsp-3y-close-ended-equity-rp/MDS1123
Taurus Starshare MCF - D (G),taurus-starshare-mcf-d/MCM149
Reliance Close Ended Eqty-Sr-A-DP-G,reliance-close-ended-eqty-sr-a-dp-g/MRC1306
Reliance Close Ended Eqty-Sr-A (G),reliance-close-ended-eqty-sr-a/MRC1304
Taurus Starshare MCF (G),taurus-starshare-mcf/MCM042
LIC MF Multicap Fund (G),lic-mf-multicap-fund/MJB001
IDFC Multi Cap Fund (G),idfc-multi-cap-fund/MAG094
MMF Badhat Yojana - DP (G),mmf-badhat-yojana-dp/MMH029
Sahara Growth Fund (G),sahara-growth-fund/MFI007
HSBC Multi Cap Eq. - Direct (G),hsbc-multi-cap-eq-direct/MHS333
Reliance Close Ended Eqty-Sr-B-DP-G,reliance-close-ended-eqty-sr-b-dp-g/MRC1338
HSBC Multi Cap Eq. (G),hsbc-multi-cap-eq-/MHS025
MMF Badhat Yojana - RP (G),mmf-badhat-yojana-rp/MMH027
Reliance Close Ended Eqty-Sr-B (G),reliance-close-ended-eqty-sr-b/MRC1336
Invesco India Multicap - D (G),invesco-india-multicap-d/MLI554
BNP Paribas Multi Cap Fund - D (G),bnp-paribas-multi-cap-fund-d/MAB722
Baroda Pioneer Growth -Direct (G),baroda-pioneer-growth-direct/MBO088
UTI-Focussed Equity - Sr IV-DP (G),uti-focussed-equity-sr-iv-dp/MUT2908
Invesco India Multicap (G),invesco-india-multicap/MLI183
Baroda Pioneer Growth (G),baroda-pioneer-growth/MBO010
BNP Paribas Multi Cap Fund (G),bnp-paribas-multi-cap-fund/MAB024
Sahara Wealth Plus -VPO -Direct (G),sahara-wealth-plus-vpo-direct/MFI089
UTI-Focussed Equity - Sr I-DP (G),uti-focussed-equity-sr-i-dp/MUT1575
Sahara Wealth Plus - VPO (G),sahara-wealth-plus-vpo/MFI019
UTI-Focussed Equity - Sr IV-RP (G),uti-focussed-equity-sr-iv-rp/MUT2906
UTI-Focussed Equity - Sr I-RP (G),uti-focussed-equity-sr-i-rp/MUT1573
Sahara Wealth Plus -FPO -Direct (G),sahara-wealth-plus-fpo-direct/MFI087
Sahara Wealth Plus - FPO (G),sahara-wealth-plus-fpo/MFI017
ICICI Pru Growth Fund-Sr3-DP (G),icici-pru-growth-fund-sr3-dp/MPI2255
DSP A.C.E Fund - Sr. 2 - Regular (G),dsp-a-c-e-fund-sr-2-regular/MDS1318
Axis CBF Sr.1 - DP (G),axis-cbf-sr-1-dp/MAA741
UTI-Focussed Equity - Sr VI-DP (G),uti-focussed-equity-sr-vi-dp/MUT3014
DSP A.C.E Fund - Sr. 2 - Direct (G),dsp-a-c-e-fund-sr-2-direct/MDS1316
UTI-Focussed Equity - Sr VI-RP (G),uti-focussed-equity-sr-vi-rp/MUT3012
UTI-Focussed Equity - Sr V-DP (G),uti-focussed-equity-sr-v-dp/MUT2936
UTI-Focussed Equity - Sr V-RP (G),uti-focussed-equity-sr-v-rp/MUT2934
Tata Multi Cap - Reg. (G),tata-multi-cap-reg-/MTA1255
Tata Multi Cap - Dir. (G),tata-multi-cap-dir-/MTA1253
Tata Value Fund - Sr.2 - Reg. (G),tata-value-fund-sr-2-reg-/MTA1227
Kotak India Growth Fund-Sr IV-Reg. (G),kotak-india-growth-fund-sr-iv-reg-/MKM1085
DSP A.C.E Fund - Sr. 1 - Regular (G),dsp-a-c-e-fund-sr-1-regular/MDS1278
Kotak India Growth Fund-Sr II - RP (G),kotak-india-growth-fund-sr-ii-rp/MKM944
Kotak India Growth Fund-Sr II - Dir (G),kotak-india-growth-fund-sr-ii-dir/MKM946
Kotak India Growth Fund-Sr IV-Dir. (G),kotak-india-growth-fund-sr-iv-dir-/MKM1087
DSP A.C.E Fund - Sr. 1 - Direct (G),dsp-a-c-e-fund-sr-1-direct/MDS1276
Kotak India Growth Fund-Sr V-Reg. (G),kotak-india-growth-fund-sr-v-reg-/MKM1133
Kotak India Growth Fund-Sr V-Dir. (G),kotak-india-growth-fund-sr-v-dir-/MKM1135
Kotak India Growth Fund-Sr VII-Reg. (G),kotak-india-growth-fund-sr-vii-reg-/MKM1209
Kotak India Growth Fund-Sr VII-Dir. (G),kotak-india-growth-fund-sr-vii-dir-/MKM1211
Tata Value Fund - Sr.1 - Dir. (G),tata-value-fund-sr-1-dir-/MTA1221
Tata Value Fund - Sr.1 - Reg. (G),tata-value-fund-sr-1-reg-/MTA1223
Tata Value Fund - Sr.2 - Dir. (G),tata-value-fund-sr-2-dir-/MTA1225
Axis CBF Sr.1 - RP (G),axis-cbf-sr-1-rp/MAA743
Axis Bluechip Fund - D (G),axis-bluechip-fund-d/MAA181
Axis Bluechip Fund (G),axis-bluechip-fund/MAA009
CR Bluechip Equity Fund - D (G),cr-bluechip-equity-fund-d/MCA212
DHFL Pramerica Large Cap-Sr 2-DP (G),dhfl-pramerica-large-cap-sr-2-dp/MDE1518
CR Bluechip Equity Fund (G),cr-bluechip-equity-fund/MCA174
JM Large Cap Fund - D (G),jm-large-cap-fund-d/MJM322
Edelweiss Large Cap - Direct (G),edelweiss-large-cap-direct/MEW090
DHFL Pramerica Large Cap-Sr 2-RP (G),dhfl-pramerica-large-cap-sr-2-rp/MDE1516
Edelweiss Large Cap - A (G),edelweiss-large-cap-a/MEW041
Edelweiss Large Cap - C (G),edelweiss-large-cap-c/MEW045
Edelweiss Large Cap - B (G),edelweiss-large-cap-b/MEW043
Invesco India Largecap - D (G),invesco-india-largecap-d/MLI568
UTI Mastershare Unit Scheme - Direct (G),uti-mastershare-unit-scheme-direct/MUT639
JM Large Cap Fund (G),jm-large-cap-fund/MJM002
Indiabulls Blue Chip Fund - Dir (G),indiabulls-blue-chip-fund-dir/MIM031
UTI Mastershare Unit Scheme (G),uti-mastershare-unit-scheme/MUT051
LIC MF Large Cap Fund - D (G),lic-mf-large-cap-fund-d/MJB161
Invesco India Largecap (G),invesco-india-largecap/MLI339
Reliance Large Cap Fund - Direct (G),reliance-large-cap-fund-direct/MRC940
ICICI Pru Bluechip Fund - D (G),icici-pru-bluechip-fund-d/MPI1134
